name,date,rank,diff
Pocket World 3D,2019_11_27,7,2
Pocket World 3D,2019_11_28,9,1
Pocket World 3D,2019_11_29,10,0
Rusty Blower 3D,2019_11_18,101,0
Rusty Blower 3D,2019_11_19,101,0
Rusty Blower 3D,2019_11_20,101,0
Rusty Blower 3D,2019_11_21,101,0
Rusty Blower 3D,2019_11_22,101,0
Rusty Blower 3D,2019_11_23,101,0
Rusty Blower 3D,2019_11_24,101,0
Rusty Blower 3D,2019_11_25,101,0
Rusty Blower 3D,2019_11_26,101,86
Rusty Blower 3D,2019_11_27,15,7
Rusty Blower 3D,2019_11_28,8,2
Rusty Blower 3D,2019_11_29,6,0
Sky Roller,2019_10_24,101,0
Sky Roller,2019_10_25,101,0
Sky Roller,2019_10_26,101,0
Sky Roller,2019_10_27,101,0
Sky Roller,2019_10_28,101,0
Sky Roller,2019_10_29,101,0
Sky Roller,2019_10_30,101,0
Sky Roller,2019_10_31,101,0
Sky Roller,2019_11_01,101,0
Sky Roller,2019_11_02,101,0
Sky Roller,2019_11_03,101,0
Sky Roller,2019_11_04,101,0
Sky Roller,2019_11_05,101,3
Sky Roller,2019_11_06,98,72
Sky Roller,2019_11_07,26,5
Sky Roller,2019_11_08,21,2
Sky Roller,2019_11_09,19,6
Sky Roller,2019_11_10,13,4
Sky Roller,2019_11_11,9,2
Sky Roller,2019_11_12,7,0
Sky Roller,2019_11_13,7,3
Sky Roller,2019_11_14,10,0
Sky Roller,2019_11_15,10,6
Sky Roller,2019_11_16,16,1
Sky Roller,2019_11_17,17,2
Sky Roller,2019_11_18,15,1
Sky Roller,2019_11_19,16,2
Sky Roller,2019_11_20,14,8
Sky Roller,2019_11_21,22,1
Sky Roller,2019_11_22,23,6
Sky Roller,2019_11_23,29,21
Sky Roller,2019_11_24,8,3
Sky Roller,2019_11_25,5,2
Sky Roller,2019_11_26,7,1
Sky Roller,2019_11_27,8,3
Sky Roller,2019_11_28,11,2
Sky Roller,2019_11_29,13,0
게임빌프로야구 슈퍼스타즈,2019_11_24,101,0
게임빌프로야구 슈퍼스타즈,2019_11_25,101,0
게임빌프로야구 슈퍼스타즈,2019_11_26,101,97
게임빌프로야구 슈퍼스타즈,2019_11_27,4,1
게임빌프로야구 슈퍼스타즈,2019_11_28,3,1
게임빌프로야구 슈퍼스타즈,2019_11_29,4,0
Ink Inc. - Tattoo Tycoon,2019_10_27,101,0
Ink Inc. - Tattoo Tycoon,2019_10_28,101,0
Ink Inc. - Tattoo Tycoon,2019_10_29,101,0
Ink Inc. - Tattoo Tycoon,2019_10_30,101,0
Ink Inc. - Tattoo Tycoon,2019_10_31,101,0
Ink Inc. - Tattoo Tycoon,2019_11_01,101,0
Ink Inc. - Tattoo Tycoon,2019_11_02,101,0
Ink Inc. - Tattoo Tycoon,2019_11_03,101,0
Ink Inc. - Tattoo Tycoon,2019_11_04,101,0
Ink Inc. - Tattoo Tycoon,2019_11_05,101,0
Ink Inc. - Tattoo Tycoon,2019_11_06,101,0
Ink Inc. - Tattoo Tycoon,2019_11_07,101,0
Ink Inc. - Tattoo Tycoon,2019_11_08,101,0
Ink Inc. - Tattoo Tycoon,2019_11_09,101,30
Ink Inc. - Tattoo Tycoon,2019_11_10,71,30
Ink Inc. - Tattoo Tycoon,2019_11_11,101,0
Ink Inc. - Tattoo Tycoon,2019_11_12,101,3
Ink Inc. - Tattoo Tycoon,2019_11_13,98,67
Ink Inc. - Tattoo Tycoon,2019_11_14,31,1
Ink Inc. - Tattoo Tycoon,2019_11_15,30,25
Ink Inc. - Tattoo Tycoon,2019_11_16,5,2
Ink Inc. - Tattoo Tycoon,2019_11_17,3,1
Ink Inc. - Tattoo Tycoon,2019_11_18,2,0
Ink Inc. - Tattoo Tycoon,2019_11_19,2,0
Ink Inc. - Tattoo Tycoon,2019_11_20,2,0
Ink Inc. - Tattoo Tycoon,2019_11_21,2,2
Ink Inc. - Tattoo Tycoon,2019_11_22,4,3
Ink Inc. - Tattoo Tycoon,2019_11_23,7,2
Ink Inc. - Tattoo Tycoon,2019_11_24,9,0
Ink Inc. - Tattoo Tycoon,2019_11_25,9,2
Ink Inc. - Tattoo Tycoon,2019_11_26,11,1
Ink Inc. - Tattoo Tycoon,2019_11_27,10,0
Ink Inc. - Tattoo Tycoon,2019_11_28,10,1
Ink Inc. - Tattoo Tycoon,2019_11_29,11,0
